title,number,additions,deletions,changedFiles,body,comments,participants,createdAt,closedAt,mergedAt,bodyCharNumber,analysisTime
Don't remove trailing separator from drive letters,89218,4,5,2,Fixes https://github.com/microsoft/vscode-remote-release/issues/1596,1,1,2020-01-24T10:42:34Z,2020-01-29T11:37:43Z,2020-01-29T11:37:42Z,68,5 days 00:55:08
Added property to cancel progress notification when user closes it,89219,11,0,3,"This PR fixes #89169 by adding `cancelOnClose` property which supposed to control if progress should be cancelled when notification are closed. Unfortunately, I didn't found any tests for withProgress and would be grateful for example of how such a test can be written (if should).

Thanks!",3,3,2020-01-24T11:10:29Z,2020-02-16T11:24:43Z,,292,23 days 00:14:14
Enabled movable Custom Views,89240,75,21,7,"This PR refs #85164

- Updates the tree view to enable updating of the styling
- Add events to ViewDescriptorService that allow listening for Container and Location change
- Add methods to ViewDescriptorService to get the view location. This works even before the container is registered and will trigger an event if the cached data turns out to be stale.
- Outline follows similar logic so included as well
",2,4,2020-01-24T16:56:27Z,2020-01-27T11:07:17Z,2020-01-27T11:07:16Z,414,2 days 18:10:49
revert back to electron 6,89245,289,378,16,,2,3,2020-01-24T17:42:55Z,2020-01-24T22:39:40Z,2020-01-24T22:39:40Z,0,0 days 04:56:45
git.pruneOnFetch setting implemented,89249,24,4,3,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #86813

Wanted to redo the PR so here goes.

Usage:
```json
{
    ""git.pruneOnFetch"": true
}
```
Setting is false by default.

This would add the `--prune` flag to all git fetches.",3,3,2020-01-24T19:27:39Z,2020-11-04T14:44:02Z,2020-11-04T14:44:02Z,564,284 days 19:16:23
Contributing: fix typos,89256,13,13,10,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->


",1,2,2020-01-24T21:18:55Z,2020-01-27T10:59:12Z,2020-01-27T10:59:12Z,360,2 days 13:40:17
chore: update to electron 7,89260,374,290,16,"
",0,1,2020-01-24T23:56:58Z,2020-02-04T20:56:24Z,2020-02-04T20:56:24Z,2,10 days 20:59:26
Initial support for a timeline (file history) view,89262,1280,55,24,"This PR fixes #84297

This is just the initial pass at a Timeline view with a registered `TimelineProvider` in the Git extension to provide Git history for the active file.

To enable this view, set `""timeline.showView"": true`",1,3,2020-01-25T00:02:16Z,2020-01-27T20:28:34Z,2020-01-27T20:28:34Z,230,2 days 20:26:18
Search editor input tweaks,89289,64,31,1,"See annotations inline in https://github.com/microsoft/vscode/commit/4222f1d01fa9e56f97ffc16dc12eac2d61045d31
",1,2,2020-01-26T09:31:25Z,2020-01-27T18:55:10Z,2020-01-27T18:55:10Z,111,1 days 09:23:45
Fixes source control remember tree collapsed state,89313,95,47,2,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #89145
",1,3,2020-01-27T04:06:05Z,2020-11-04T15:28:36Z,2020-11-04T15:28:36Z,380,282 days 11:22:31
"CLI: When reading from stdin, exit when stdin closes",89314,104,13,11,"This PR fixes #39682

Currently, when opening stdin of a command via piping to the CLI (e.g. `tar tf | code -`), the CLI adds the `--wait` flag. This is non-intuitive behavior, as most users assume that `code` will exit as soon as the process piped to it exits. This change removes the `--wait` behavior and instead will exit once stdin closes, which occurs when the process piping to `code -` exits or closes its stdout early.",11,4,2020-01-27T04:22:29Z,2020-10-03T16:00:09Z,,429,250 days 11:37:40
"Fix alignment of ""Create new integrated terminal"" plus icon in quick menu",89357,5,1,1,This PR fixes #89346,1,2,2020-01-27T17:23:44Z,2020-01-27T22:08:47Z,,20,0 days 04:45:03
Preserve GNOME titlebar layout settings,89359,63,2,6,"Use the title bar button layout from GNOME settings. Some people would like to see VSCode preserve OS preferences. This PR adds functionality that hides maximize or minimize buttons according to GNOME tweaks.

Issue: none (or I didn't find)

![image](https://user-images.githubusercontent.com/15856982/73199611-358a6580-4146-11ea-94d6-8147c6220530.png)
![image](https://user-images.githubusercontent.com/15856982/73199625-39b68300-4146-11ea-80cf-281fc1bd3ed0.png)


P.S I reopen my old PR #88298",3,4,2020-01-27T17:48:04Z,2022-05-07T15:47:34Z,,503,830 days 21:59:30
fix spelling errors,89397,15,15,12,,1,2,2020-01-28T02:32:41Z,2020-01-28T08:38:18Z,,0,0 days 06:05:37
Trigger Electron#setDocumentEdited for working copies edited before the event handler is added.,89406,6,3,1,"It seems that `setDocumentEdited`  was not being triggered if the dirty state change occurs before the event was subscribed to. This was causing #89267 because the dirty state was set at time of construction, which occurred before `ElectronWindow#registerListeners` was called.

fixes #89267
",2,2,2020-01-28T09:01:00Z,2020-02-04T07:35:51Z,,295,6 days 22:34:51
"Use capital ""N"" for new",89461,2,2,2,This PR fixes #89435,1,2,2020-01-28T13:22:45Z,2020-01-28T17:33:57Z,2020-01-28T17:33:57Z,20,0 days 04:11:12
Removed search.location from search.contribution.ts,89585,0,6,1,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #89539. Hopefully this fixes it, if it doesn't, let me know.
",0,2,2020-01-29T06:58:50Z,2020-01-29T16:02:50Z,2020-01-29T16:02:50Z,434,0 days 09:04:00
Close search editor references widget on new search,89641,7,2,2,"Fixes #89449


@jrieken old behavior always focused the editor on close, but that doesn't work in search editor because focus may have been in the query input field.",0,2,2020-01-29T18:45:46Z,2020-01-30T17:23:42Z,2020-01-30T17:23:42Z,168,0 days 22:37:56
Fix #89493,89653,1,1,1,"This PR fixes #89493 

![image](https://user-images.githubusercontent.com/15856982/73392394-cdc14f80-42ea-11ea-911a-dc09f03d2224.png)
![image](https://user-images.githubusercontent.com/15856982/73392411-d44fc700-42ea-11ea-8aa7-7eddd7b18db8.png)

",1,2,2020-01-29T19:58:23Z,2020-01-29T22:13:30Z,2020-01-29T22:13:30Z,251,0 days 02:15:07
Style diff editor's scrollable viewport just like any other scrollbar,89660,33,10,2,"This styles the diff editor's scrollbar in the same way as any other scrollbar. As an added bonus, it now inherits the colour from the theme colour. 🎨 

### Before

The diff scrollbar on the right is always white and does not blend well with some themes.

![diff viewport - white](https://user-images.githubusercontent.com/3058150/73399266-373f5f00-42e7-11ea-8adb-c48da73c0d3d.png)

### After

The diff scrollbar on the right inherits the generic scrollbar's colour provided by the current theme. 🎨 

![diff viewport - themeable](https://user-images.githubusercontent.com/3058150/73399281-3d354000-42e7-11ea-9858-512b8438d91c.png)

## Implementation notes

At this moment, I simply re-used the theme variables for regular scrollbar sliders as the thingy really looks a lot like a scrollbar slider. However, I am not opposed to the idea of introducing a completely new colour customisation variable for it.

Also note that after second thought I feel I _should_ somehow use `registerThemingParticipant()` in the `git` builtin package to get this working, but I'll let you guide me first before I venture forth. ❤️

My ultimate goal is simply to have that diff overview thingy themeable.",2,4,2020-01-29T21:40:11Z,2020-02-04T10:05:52Z,2020-02-04T10:05:52Z,1205,5 days 12:25:41
Git: Keep original message format on amend,89664,5,1,1,"Show only the subject line in the input box, and if it hasn't
been changed, keep the existing message.

Fixes #40295
",7,5,2020-01-29T21:55:04Z,2020-05-17T21:29:13Z,,121,108 days 23:34:09
Fixed peekWidgetDefaultFocus configuration mispelling,89672,1,1,1,"This PR fixes #89670.
Now spelling is correct.
",0,3,2020-01-29T23:42:28Z,2020-01-30T08:46:22Z,2020-01-30T08:46:21Z,49,0 days 09:03:53
Fix suggest details close button,89683,6,0,1,"This PR fixes #88852

![image](https://user-images.githubusercontent.com/15856982/73429883-c1221300-434d-11ea-80a0-6b36492f74b2.png)
![image](https://user-images.githubusercontent.com/15856982/73429983-f7f82900-434d-11ea-958c-77490de74cc8.png)

Also, I added the right margin to details view to fix the case when details text overlapping with the close button

![image](https://user-images.githubusercontent.com/15856982/73430115-4efdfe00-434e-11ea-8e48-934bfeb9935f.png)


",1,2,2020-01-30T07:46:14Z,2020-01-30T18:36:58Z,,484,0 days 10:50:44
Make open recent menu aware of openFoldersInNewWindow setting,89685,21,6,1,"This PR fixes #88665
if window.openFoldersInNewWindow is ""on"", this flips the behavior of control and command key modifiers to open in the same window and changes the placeholder text accordingly.  Otherwise behavior will be the same as before.
Personally tested on mac.",6,4,2020-01-30T08:25:57Z,2020-03-16T06:29:34Z,,272,45 days 22:03:37
fix(tokenClassificationExtensionPoint): some typos,89704,3,3,1,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #
",1,2,2020-01-30T12:16:55Z,2020-01-30T14:01:47Z,2020-01-30T14:01:47Z,375,0 days 01:44:52
file search: include workspace folder in filter,89765,83,37,8,"It is now possible to filter files by the containing workspace folder in the ""Go to File..."" popup.

This is particularly useful when your workspace contains multiple projects, each with the same file.

A common example is the `README.md` file. Say you want to find a `README.md` file from a particular folder, say `my-folder`. Before this change you'd have to press the `Down` button a few times before you could get to the file.

With this change you'd instead search for `mfREADME.md`. The desired readme file should now appear closer to the top of the file search popup.

This PR fixes #32444 ",5,3,2020-01-31T08:47:46Z,2020-03-02T19:11:35Z,2020-03-02T19:11:35Z,605,31 days 10:23:49
Lint rules that enforce our api-guidelines,89777,421,1,10,Add lint rules that implement some of our API guidelines,0,1,2020-01-31T11:28:17Z,2020-02-03T11:30:27Z,2020-02-03T11:30:27Z,56,3 days 00:02:10
ListWidget: Don't scroll list on reveal if item already visible,89818,8,7,1,"Saw #82828 and realized it's something which bugs me fairly often so I took a stab at it.

Before deciding how to position the item being revealed, check if it's already visible (ie. fully within the list's viewport). If so, it is already revealed, and we don't need to jump around which can be jarring.

This PR fixes #82828",1,2,2020-01-31T20:34:42Z,2020-02-02T19:47:09Z,,329,1 days 23:12:27
"Rename ""Contributions"" to ""Feature Contributions""",89842,3,3,1,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #89753

This changes the title of the ""Contributions"" tab to ""Feature Contributions"", for clarity.
I don't know if I should somehow mark this as needing to be retranslated, and how I would go about that.",1,2,2020-02-01T17:25:33Z,2020-02-06T19:08:01Z,2020-02-06T19:08:01Z,578,5 days 01:42:28
Fixes no link detection in SCM input box,89868,7,1,2,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #89484
",1,3,2020-02-02T18:53:44Z,2020-02-28T16:55:05Z,2020-02-28T16:55:05Z,380,25 days 22:01:21
Fixes cannot undo in SCM input box,89871,6,1,1,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #89857
",0,2,2020-02-02T19:40:19Z,2020-02-03T10:46:31Z,2020-02-03T10:46:31Z,380,0 days 15:06:12
Fixes #32264 - Allow N instances of the same task,89872,101,12,7,"# Summary
* These changes allow N instances of the same task to be run simultaneously.
* The maximum number of allowable instances can be set in `RunOptions`.
* The instances of a task are visible in the QuickPick with an ` (i)` appended to the quick pick entry label to indicate that the task is an instance of an already running task. 
For example if 3 instances of task `foo` are running, the QuickPick would display:
```
foo
foo (1)
foo (2)
```
# Implementation notes
## Distinguishing between multiple instances of the same task
When a task is run in `terminalTaskSystem`, if another instance can be created, the task that the user selected is cloned and its `id` is modified to have form `<ORIGINAL_TASK_ID>|<COUNTER>`.
The counter gets incremented each time an instance of the same task is created. The cloned task is then run like any other task.
This makes it possible to check if a task is an instance of another task because all instances of a task will have the `<ORIGINAL_TASK_ID>` substring in common in their respective ids.
## Tracking multiple instances of the same task.
The `<ORIGINAL_TASK_ID>` substring shared by all instances serves as the key in a dictionary where the value is an `InstanceManager` object that stores information related to all instances of a task such as the number of currently active instances.

## How to test changes
Create a `tasks.json` and set the `instances` property. Here is an example configuration:
```json
{
    ""version"": ""2.0.0"",
    ""tasks"": [
        {
            ""label"": ""echo"",
            ""type"": ""shell"",
            ""command"": ""sleep 20 && echo Hello"",
            ""runOptions"": { ""instances"": 3}
        }
    ]
}
```
You can then execute the `echo` task, ensure that it never runs more than 3 instances of itself and that if a 4th instance is attempted, you should be prompted to either terminate or restart **the last instance** of `echo`.
",5,3,2020-02-02T19:48:12Z,2020-02-05T12:55:43Z,2020-02-05T12:55:43Z,1942,2 days 17:07:31
Fixes bad layout in settings tree after toggling v/h editor layout,89883,4,0,1,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #89247
",2,2,2020-02-02T22:33:25Z,2020-05-15T21:41:06Z,,380,102 days 23:07:41
Developed setting which controls whether the definition link opens element in the peek widget.,89884,109,89,4,"This PR fixes #62571.

Now there is a setting to control whether the mouse click opens element definition in the peek widget, which is equivalent to Visual Studio configuration.

![image](https://user-images.githubusercontent.com/10179520/73616521-2d717080-45f3-11ea-9f00-0d27e6710b97.png)

Default is _false_ to maintain the same behavior as before (tipically opening the definition in a new window).",7,2,2020-02-02T22:40:11Z,2020-02-04T11:15:04Z,2020-02-04T11:15:03Z,407,1 days 12:34:52
fix #89834,89906,16,1,1,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #89834
",0,2,2020-02-03T08:42:04Z,2020-02-03T10:20:23Z,2020-02-03T10:20:23Z,380,0 days 01:38:19
fix #75861,89908,11,3,1,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #75861
",1,2,2020-02-03T08:44:56Z,2020-02-03T10:33:40Z,2020-02-03T10:33:40Z,380,0 days 01:48:44
disable semantic highlight for stable,89914,1,1,1,"As discussed with @mjbvz and @egamma , we disable semantic highlight by default for stable 1.42.

As described in the release notes, interested user can enabled by setting `""editor.semanticHighlighting.enabled"": true`.

This will give us more time to fix some remaining issues with the TypeScript semantic highlighting and react to feedback from C++ and Java.",0,2,2020-02-03T10:43:38Z,2020-02-03T13:30:48Z,2020-02-03T13:30:48Z,363,0 days 02:47:10
CSS smoketest fix for high DPI on Windows,89917,1,1,1,"
",0,2,2020-02-03T11:53:06Z,2020-02-03T14:22:58Z,2020-02-03T14:22:58Z,2,0 days 02:29:52
Web - run smoke tests using playwright,89918,246,187,12,This replaces puppeteer with [playwright](https://github.com/microsoft/playwright) and adds support for `--browser <chromium|firefox|safari>`,9,3,2020-02-03T11:55:05Z,2020-02-04T16:23:28Z,2020-02-04T16:23:28Z,141,1 days 04:28:23
Fix #89900 - improve text on editor.showFoldingControls setting,89919,7,1,1,"This PR fixes #89900

As well as clarifying the meaning of the setting, descriptions have been added to the two values it can take.

![image](https://user-images.githubusercontent.com/6726799/73651526-846f5800-467c-11ea-9f8f-4c61148808cd.png)

![image](https://user-images.githubusercontent.com/6726799/73651566-95b86480-467c-11ea-847e-4cab5583148e.png)

",10,4,2020-02-03T11:59:33Z,2020-02-04T10:09:12Z,2020-02-04T10:09:11Z,363,0 days 22:09:38
remove debug smoke test,89924,0,124,2,"Remove debug smoke tests from the release branch so they are not blocking us when releasing.
",0,2,2020-02-03T13:47:46Z,2020-02-03T15:59:50Z,2020-02-03T15:59:50Z,94,0 days 02:12:04
Fix 89899 - improve description of editor.foldingStrategy setting,89925,7,1,1,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #89899 

![image](https://user-images.githubusercontent.com/6726799/73658265-f0a58800-468b-11ea-9f7b-7d77a58491ee.png)

![image](https://user-images.githubusercontent.com/6726799/73658308-031fc180-468c-11ea-9697-69503285a306.png)

The term 'strategy' has been retained. For one thing, it would be complicated to migrate to a new setting ID. For another, the term 'strategy' is widely used for similar things elsewhere in the product.


",1,3,2020-02-03T13:52:01Z,2020-02-04T10:10:31Z,2020-02-04T10:10:31Z,817,0 days 20:18:30
Update workbench.sidebar.position description.,89938,1,1,1,Fix #89936,0,2,2020-02-03T17:53:02Z,2020-02-07T15:39:43Z,2020-02-07T15:39:43Z,10,3 days 21:46:41
Don't include dom typings in extensions,89942,15,2,4,"**Problem**
All of our extensions currently are built using the dom typings. This can lead to runtime errors if you mistakenly use `window` in an extension

**Fix**
Exclude the dom typings from compile. Then explicitly import the node types for `URL` and `TextEncoder`
",0,3,2020-02-03T18:56:22Z,2020-02-04T19:08:23Z,2020-02-04T19:08:23Z,274,1 days 00:12:01
Make folding icons themeable,89945,12,1,1,"This PR fixes #87702 and makes the folding icons themeable via `editor.foldForeground`. I tried to keep the same naming convention as `editor.foldBackground`.

![image](https://user-images.githubusercontent.com/35271042/73682871-14f66a00-4676-11ea-8763-0bfd32127461.png)
",7,5,2020-02-03T19:13:44Z,2020-04-17T07:05:27Z,2020-04-17T07:05:24Z,274,73 days 11:51:40
Don't ignore system keyboard shortcuts on webviews unless already handled,89957,3,1,1,"This PR fixes #71800
The bug is that native OS shortcuts like cmd-m to minimize and cmd-h to hide are not respected when a webview is focused on macOS. To repro, open any webview like the Cat Coding sample webview and press cmd-h to try to hide the window.

The reason for this is that *all* shortcuts are captured and attempted to be handled by webviewCommands.ts (for copy, paste, etc). But some are missing from this list, including cmd-h and cmd-m. This capturing appears to only happen on macOS. Instead of capturing all events, we can just capture if the event looks like one that will be handled by webviewCommands (namely, cmd-c, cmd-v, cmd-z, cmd-x, cmd-a)
",1,2,2020-02-03T21:32:15Z,2020-02-12T20:30:08Z,,670,8 days 22:57:53
Fix plurality in command docs,89959,3,3,1,Manually fixed in docs at https://github.com/microsoft/vscode-docs/pull/3379.,0,2,2020-02-03T21:41:49Z,2020-02-04T07:26:16Z,2020-02-04T07:26:15Z,77,0 days 09:44:26
Fix undo/redo broken in non-editor webviews,89961,1,1,1,"This PR fixes #89960

Undo/redo is broken in webviews due to the context key being overly aggressive in setting itself as `webviewHasOwnEditFunctions`. I think instead of true, this should set it to be based on if it has a custom editor. This fixes `webviewCommands.ts`, which uses this context key for undo/redo.

Repro:
1. open a webview with an `<input>` (e.g. modify the cat coding sample)
2. type into the input
3. undo & redo with cmd-z and cmd-shift-z work as expected
",1,2,2020-02-03T21:52:33Z,2020-02-03T23:15:21Z,2020-02-03T23:15:21Z,484,0 days 01:22:48
simple file dialog - add files to recently opened,89994,20,5,2,"@alexr00 I noticed that whenever the simple file dialog is used (e.g in remote or even in web), picked files are not showing up in this files section of the recently opened list:

![image](https://user-images.githubusercontent.com/900690/73736010-679c5880-4740-11ea-99d2-2f762de5d46d.png)

This list is filled from various places, e.g. whenever you open a workspace or folder an entry will be added. When opening files via command line or the native file dialog, we have code in `electron-main` that ensures to add them as well, but we do not have that code when using the simple file dialog because everything happens in the renderer. 

Suggested fix is to let the simple file dialog add the history entry for files picked. Let me know if you think it should be at a different place altogether.

PS: the idea of this list is to reflect files and folders that are opened into vscode from outside (e.g. through dialogs), NOT to reflect each file that was clicked on within VSCode.",1,2,2020-02-04T10:22:12Z,2020-02-05T15:25:48Z,2020-02-05T15:25:48Z,987,1 days 05:03:36
Fix #86384 Added Stash Staged option for GIT SCM,90004,56,0,5,"Added an option to stash only staged changes.

This PR fixes #86384
",1,5,2020-02-04T12:32:46Z,2020-11-04T15:35:25Z,,71,274 days 03:02:39
Use originalFSPath in terminal,90009,1,1,1,"Fixes https://github.com/microsoft/vscode/issues/88906
",4,2,2020-02-04T13:55:40Z,2020-02-05T14:15:33Z,2020-02-05T14:15:32Z,56,1 days 00:19:52
Use playwright for unit tests,90010,608,17,10,"This PR is an experiment of running our unit tests in webkit, chromium, and firefox using playwright. This can complement our current ""run in electron renderer""-approach but only tests from/for the browser-layer can be run. 

**Open problems:**

* [ ] Using Firefox doesn't work me...
* [x] Using `**/test/**/{common,browser}/**/*.test.js` pulls in tests that somehow depends on node modules. That is a sign of bad layering somewhere...
* [x] we have `./test/assert.js` (copied from node) without `deepStrictEqual` and did an improper ""implementation"" of it (default to to deepEqual)
* [x] use of `Buffer` and `process` (and even more?)

**Try out:**

```
> yarn && node ./test/browser/index.js --run ""**/{strings,arrays}.test.js --browser chromium""
```",8,2,2020-02-04T14:06:33Z,2020-02-05T10:16:09Z,2020-02-05T10:16:09Z,766,0 days 20:09:36
Fix interactive playground's suggest widget styled everything as links,90022,3,3,1,"This PR fixes #83024 

As I described [here](https://github.com/microsoft/vscode/issues/83024#issuecomment-582039826), changing CSS rules to style only such tags that have non-empty Href attribute fixes this issue 

![image](https://user-images.githubusercontent.com/15856982/73774107-81678b00-4794-11ea-9a50-b4cb0473ebb2.png)
",1,3,2020-02-04T18:23:03Z,2021-10-23T00:28:21Z,2021-10-23T00:28:20Z,332,626 days 06:05:17
Fix to reveal the primary cursor in multi-cursor mode,90080,2,5,1,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #6995

As I suggested [here](https://github.com/microsoft/vscode/issues/6995#issuecomment-477229278), I changed the code to reveal the primary cursor when the editor is in multi-cursor mode.

![vscode-multicursor-reveal](https://user-images.githubusercontent.com/3135397/73855239-1d69c300-4877-11ea-9803-afc45d0e2d7b.gif)
",1,2,2020-02-05T15:25:27Z,2020-03-03T16:46:06Z,,699,27 days 01:20:39
Improve promise usage in terminal,90101,328,400,16,Fixes #75793,0,1,2020-02-05T20:28:26Z,2020-02-11T15:24:33Z,2020-02-11T15:24:33Z,12,5 days 18:56:07
"Docs: fix package.json field name ""extensionDependency""",90103,1,1,1,,1,2,2020-02-05T21:07:56Z,2020-02-06T08:50:30Z,2020-02-06T08:50:30Z,0,0 days 11:42:34
Fixed bug where one could open 'peek' inside 'peek' on definition link,90109,14,3,1,"This PR fixes #90107.
When the new setting 'Definition Link Opens in Peek' is checked, a new peek widget will be opened **if and only if** there is no peek widget open yet (user is not inside a peek context).

Otherwise it performs a normal Go To Definition.

![Peek-solved](https://user-images.githubusercontent.com/10179520/73891248-a0c4ed80-4852-11ea-8bd2-ff3f3679ab6d.gif)
",0,2,2020-02-05T23:05:30Z,2020-02-06T11:17:12Z,2020-02-06T11:17:11Z,383,0 days 12:11:41
Use MutationObserver for Monaco Editor AutomaticLayout,90111,29,8,1,"When changing the size of the editor container that uses the AutomaticLayout option, the editor content updates based on dom mutations instead of waiting on a time interval.

This should work the same as the previously used time interval, but without the performance issues.



This PR fixes [#1266](https://github.com/microsoft/monaco-editor/issues/1266)
",2,3,2020-02-06T00:02:39Z,2020-02-06T22:03:46Z,2020-02-06T22:03:45Z,363,0 days 22:01:06
Grammar fix for `task.autoDetect` description,90117,1,1,1,Trivial language fix for configuration description.,1,2,2020-02-06T05:14:54Z,2020-02-06T09:11:35Z,2020-02-06T09:11:35Z,51,0 days 03:56:41
Supporting triple dots for front-matter end,90122,5,5,2,"<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #70464
If you wanna check added code, please see this [PR](https://github.com/TroyTae/markdown-it-front-matter/pull/9) :)
",1,2,2020-02-06T07:26:43Z,2020-02-10T22:45:14Z,2020-02-10T22:45:13Z,496,4 days 15:18:30
Separate shared process ipc (client) ready and server ready,90136,52,16,3,"Issue:

Currently main is waiting to register its services, until the shared process is ready and initialised. This is an issue if services in shared process need to request main during initialisation. Eg: Storage service initialisation on shared process.

Given this scenario where main as server and shared process as client, server can wait until the client connection is established to register its channels.

This PR introduces a new barrier `whenIpcReady` that is released when shared process ipc (client) is ready and thereafter server (main) can register its channels. Those who are clients to shared process should keep continue to wait `whenReady` that is when shared process is ready and initialised.


",4,3,2020-02-06T12:59:15Z,2020-02-10T09:55:41Z,2020-02-10T09:55:41Z,723,3 days 20:56:26
WIP: Support fingerprint verification confirmation,90142,511,118,6,"This PR fixes #89829

This PR is a work in progress. I opened it to receive feedback from the maintainers. 

The main idea is to use `node-pty` to call git methods that can request fingerprint confirmation. So git will run in the interactive mode that allows confirm or decline verification programmatically",7,4,2020-02-06T13:58:36Z,2020-11-05T13:42:15Z,,311,272 days 23:43:39
add browser tests to continous builds,90153,23,3,5,"This PR adds unit testing in chromium, webkit, and (future) firefox to our continuous build. This is another safety net and tests our code on more supported platforms. 
",0,1,2020-02-06T15:58:19Z,2020-02-07T15:17:57Z,2020-02-07T15:17:57Z,170,0 days 23:19:38
Clarify language when creating new git branch,90160,1,1,1,"When using the git extension, the intent is clear when clicking on ""+ Create new branch..."" and immediately being prompted ""Please provide a branch name"". But, when clicking on ""+ Create a new branch from..."" the intent is ambiguous, since the statement ""Please provide a branch name"" could refer to the branch from which you wish to base the new branch on or the name of the new branch, the latter being what actually happens.

By specifying ""Please provide a *new* branch name..."", the intent is clear: the prompt is asking for the name you wish to call the new branch.

<!-- Thank you for submitting a Pull Request. Please: 
* Read our Pull Request guidelines:
  https://github.com/Microsoft/vscode/wiki/How-to-Contribute#pull-requests.
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `master` branch.
* Include a description of the proposed changes and how to test them. 
-->

This PR fixes #90158
",1,3,2020-02-06T18:30:20Z,2020-02-07T06:57:12Z,2020-02-07T06:57:11Z,957,0 days 12:26:51
Don't show status bar mode picker if there's no declared mode support.,90183,5,4,1,"Ref #89482.

We currently show the mode picker status bar element even when the editor doesn't have mode configuration support. This PR stops that. This shouldn't affect any existing code, as Untitled, SidebySide, and FileEditor inputs all have mode support. Search Editors don't.

cc @alexdima I see you've touched some of this stuff too.",0,3,2020-02-06T23:14:48Z,2020-02-07T15:31:34Z,2020-02-07T15:31:34Z,343,0 days 16:16:46
